timestamp,pic index,text,frame_path
2024-01-24 03:15:45,,Image size: 8.1MB Timestamp: 035:7629 (2024-01-24-03:15:45 UTC) GPS Twnex 0. PPS: 0. Ginkty:0 | No GPS positon | ‘Gonversion Rain: 1.3:Gps° | ‘Current Image: 6051 / 12897 | UR Keyleames:0/ 12897 | Shutter 86 Gan 0. Gamma 1.00 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0703.jpg
2024-01-24 03:15:46,,Image size: 8.3MB Timestamp: 036:7711 (2024-01-24-03:15:46 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS podGon | ‘Gonverdion Rate: 1.3.40: | ‘Cureeet Images 605212807 | UR Keven 07 12897 | Shetinr 86 Gens 0 Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0723.jpg
2024-01-24 03:15:47,,Image size: 8.2MB Timestamp: 037:7792 (2024-01-24-03:15:47 UTC) GPS Tees 0. PPS: 0. Gimbty: 0 | No GPS podGon | ‘Conversion Rate: 1.3.00: | ‘Cureeet Images 6053 712807 | UR Keyless 07 12897 | Shetine 86 Gen 0 Ganeme 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0743.jpg
2024-01-24 03:15:48,,Image size: 8.2MB Timestamp: 038:7874 (2024-01-24-03:15:48 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rate: 1.3.00: | ‘Cureent Images 6054) 12807 | UR Kevin 07 12897 | Shetinr 86 Gann 0. Garena 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0763.jpg
2024-01-24 03:15:49,,Image size: 8.2MB Timestamp: 040:0036 (2024-01-24-03:15:49 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS podGon | ‘Gonverdion Rate: 1.3.40: | ‘Cureeet Images 60557-12807 | U/R Keven 07 12897 | Shetinr 86 Gen 0 Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0784.jpg
2024-01-24 03:15:50,,Image size: 8.2MB Timestamp: 041:0118 (2024-01-24-03:15:50 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS podSon | ‘Gonvercion Rate: 1.3.40: | ‘Cursed Images 60567 12807 | UR Keven 07 12897 | Shatin 86 Gens 0 Ganene 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0801.jpg
2024-01-24 03:15:51,,Image size: 8.2MB Timestamp: 042:0200 (2024-01-24-03:15:51 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS podéon | ‘Conversion Rate: 1.3.40: | ‘Cureeet Images 6057 / 12807 | UR Keven 07 12897 | Shetinr 86 Gens 0 Ganene 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0816.jpg
2024-01-24 03:15:52,,Image size: 8.2MB Timestamp: 043:0282 (2024-01-24-03:15:52 UTC) GPS Taeee 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rate: 1.3.40: | ‘Cureeet Image: 6058712807 | U/R Keyless 07 12897 | Shetine 86 Gann 0 Ganeme 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0834.jpg
2024-01-24 03:15:53,,Image size: 8.1MB Timestamp: 044:0363 (2024-01-24-03:15:53 UTC) GPS Tees 0. PPS: 0. Gity: 0 | No GPS podéon | ‘Gonvercion Rate: 1.3.00° | ‘Cursed Images 60597 12807 | UR Keyless 07 12897 | Shetinr 86 Gens 0. Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0854.jpg
2024-01-24 03:15:54,,Image size: 8.2MB Timestamp: 045:0446 (2024-01-24-03:15:54 UTC) GPS Tees 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rate: 1.3.40: | ‘Cureeet Image: 6060 /12807 | UR Keviemes 07 12897 | Shetine 86 Gan 0. Ganeman 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0874.jpg
