timestamp,pic index,text,frame_path
2024-01-05 02:00:49,27/1381,"— gs@ | Image size: 7.8MB Timestamp: 108:4922 (2024-01-05-02:00:49 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 27 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0382.jpg
2024-01-05 02:00:50,28/1381,"a gs@ | Image size: 7.7MB Timestamp: 109:5005 (2024-01-05-02:00:50 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 28 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0394.jpg
2024-01-05 02:00:51,29/1381,"— gs@ | Image size: 7.8MB Timestamp: 110:5086 (2024-01-05-02:00:51 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 29 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0406.jpg
2024-01-05 02:00:52,30/1381,"aera gs@ | Image size: 8.0MB Timestamp: 111:5168 (2024-01-05-02:00:52 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 30/1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0420.jpg
2024-01-05 02:00:53,,"—_ gsImage size: 8.0MB Timestamp: 112:5250 (2024-01-05-02:00:53 UTC) GPS Tee 0, PPO Quali 0 | No GPS postin: | “Comvercion Rtec 48) fpe: | ‘Convent Image: 39/1381 | 1 Keyirenec6/1381 | Shutter 82:Gan 0 Gane 100@ i lit in f hh",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0433.jpg
2024-01-05 02:00:54,32/1381,"aia gs@ | Image size: 8.0MB Timestamp: 113:5332 (2024-01-05-02:00:54 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 1.6 fps | Current Image: 32/1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0445.jpg
2024-01-05 02:00:55,33/1381,"erage gs@ | Image size: 8.1MB Timestamp: 114:5333 (2024-01-05-02:00:55 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 1.7 fps_| Current Image: 33 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0457.jpg
2024-01-05 02:00:56,34/1381,"= gs@ | Image size: 8.1MB Timestamp: 115:5416 (2024-01-05-02:00:56 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 1.7 fps | Current Image: 34/1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0470.jpg
2024-01-05 02:00:57,,"—. gsImage size: 7.9MB Timestamp: 116:5497 (2024-01-05-02:00:57 UTC) GPS Tee 0, PPS0; Quali 0 | No GPS postin: | “Coneraion fitee1.7 pe: | ‘Convent lemnges 357 1981 | 1 Keyra /1381 | Sietter82;Gan0 Gaene 1:00@ i lit in fy hh",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0483.jpg
2024-01-05 02:00:58,36/1381,"ae gs@ | Image size: 7.9MB Timestamp: 117:5579 (2024-01-05-02:00:58 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 1.7 fps | Current Image: 36 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0496.jpg
